AtomicNumber,AtomicSymbol,Element,AtomTup,OrbitalGroup,Protons,Neutrons,GroupNumber,Period,SlotNumber,SlotP,SlotN,SlotOrien,AlphaType,SlotX,SlotY,SlotZ,CanBind,SlotLayout,SL1,SL2,SL3,SL4
0,1,H,hydrogen,"(' 1 hydrogen H ', 1)",,1,0,1,1,1,0,0,H,1,0,0,0,Y,,,,,
1,1,H,hydrogen,"(' 1 hydrogen H ', 1)",,1,0,1,1,2,0,0,V,0,0,0,0,N,,,| 14,,
2,1,H,hydrogen,"(' 1 hydrogen H ', 1)",,1,0,1,1,3,0,0,V,0,0,0,0,N,,,,,
3,1,H,hydrogen,"(' 1 hydrogen H ', 1)",,1,0,1,1,4,0,0,H,0,0,0,0,N,,,- 4,| 9,- 13
4,1,H,hydrogen,"(' 1 hydrogen H ', 1)",,1,0,1,1,5,0,0,H,0,0,0,0,N,,- 18,| 2,- 16,
5,1,H,hydrogen,"(' 1 hydrogen H ', 1)",,1,0,1,1,6,0,0,V,0,0,0,0,N,- 10,| 6,- 1,| 7,- 12
6,1,H,hydrogen,"(' 1 hydrogen H ', 1)",,1,0,1,1,7,0,0,V,0,0,0,0,N,,- 17,| 3,- 19,
7,1,H,hydrogen,"(' 1 hydrogen H ', 1)",,1,0,1,1,8,0,0,V,0,0,0,0,N,- 11,| 8,- 5,,
8,1,H,hydrogen,"(' 1 hydrogen H ', 1)",,1,0,1,1,9,0,0,V,0,0,0,0,N,,,,,
9,1,H,hydrogen,"(' 1 hydrogen H ', 1)",,1,0,1,1,10,0,0,H,0,0,0,0,N,,,| 15,,
10,1,H,hydrogen,"(' 1 hydrogen H ', 1)",,1,0,1,1,11,0,0,H,0,0,0,0,N,,,,,
11,1,H,hydrogen,"(' 1 hydrogen H ', 1)",,1,0,1,1,12,0,0,H,0,0,0,0,N,,,,,
12,1,H,hydrogen,"(' 1 hydrogen H ', 1)",,1,0,1,1,13,0,0,H,0,0,0,0,N,,,,,
13,1,H,hydrogen,"(' 1 hydrogen H ', 1)",,1,0,1,1,14,0,0,V,0,0,0,0,N,,,,,
14,1,H,hydrogen,"(' 1 hydrogen H ', 1)",,1,0,1,1,15,0,0,V,0,0,0,0,N,,,,,
15,1,H,hydrogen,"(' 1 hydrogen H ', 1)",,1,0,1,1,16,0,0,H,0,0,0,0,N,,,,,
16,1,H,hydrogen,"(' 1 hydrogen H ', 1)",,1,0,1,1,17,0,0,H,0,0,0,0,N,,,,,
17,1,H,hydrogen,"(' 1 hydrogen H ', 1)",,1,0,1,1,18,0,0,H,0,0,0,0,N,,,,,
18,1,H,hydrogen,"(' 1 hydrogen H ', 1)",,1,0,1,1,19,0,0,H,0,0,0,0,N,,,,,
19,2,He,helium,"(' 2 helium He ', 2)",,2,2,18,1,1,0,0,H,2,0,0,0,N,,,,,
20,2,He,helium,"(' 2 helium He ', 2)",,2,2,18,1,2,0,0,V,0,0,0,0,N,,,| 14,,
21,2,He,helium,"(' 2 helium He ', 2)",,2,2,18,1,3,0,0,V,0,0,0,0,N,,,,,
22,2,He,helium,"(' 2 helium He ', 2)",,2,2,18,1,4,0,0,H,0,0,0,0,N,,,- 4,| 9,- 13
23,2,He,helium,"(' 2 helium He ', 2)",,2,2,18,1,5,0,0,H,0,0,0,0,N,,- 18,| 2,- 16,
24,2,He,helium,"(' 2 helium He ', 2)",,2,2,18,1,6,0,0,V,0,0,0,0,N,- 10,| 6,- 1,| 7,- 12
25,2,He,helium,"(' 2 helium He ', 2)",,2,2,18,1,7,0,0,V,0,0,0,0,N,,- 17,| 3,- 19,
26,2,He,helium,"(' 2 helium He ', 2)",,2,2,18,1,8,0,0,V,0,0,0,0,N,- 11,| 8,- 5,,
27,2,He,helium,"(' 2 helium He ', 2)",,2,2,18,1,9,0,0,V,0,0,0,0,N,,,,,
28,2,He,helium,"(' 2 helium He ', 2)",,2,2,18,1,10,0,0,H,0,0,0,0,N,,,| 15,,
29,2,He,helium,"(' 2 helium He ', 2)",,2,2,18,1,11,0,0,H,0,0,0,0,N,,,,,
30,2,He,helium,"(' 2 helium He ', 2)",,2,2,18,1,12,0,0,H,0,0,0,0,N,,,,,
31,2,He,helium,"(' 2 helium He ', 2)",,2,2,18,1,13,0,0,H,0,0,0,0,N,,,,,
32,2,He,helium,"(' 2 helium He ', 2)",,2,2,18,1,14,0,0,V,0,0,0,0,N,,,,,
33,2,He,helium,"(' 2 helium He ', 2)",,2,2,18,1,15,0,0,V,0,0,0,0,N,,,,,
34,2,He,helium,"(' 2 helium He ', 2)",,2,2,18,1,16,0,0,H,0,0,0,0,N,,,,,
35,2,He,helium,"(' 2 helium He ', 2)",,2,2,18,1,17,0,0,H,0,0,0,0,N,,,,,
36,2,He,helium,"(' 2 helium He ', 2)",,2,2,18,1,18,0,0,H,0,0,0,0,N,,,,,
37,2,He,helium,"(' 2 helium He ', 2)",,2,2,18,1,19,0,0,H,0,0,0,0,N,,,,,
38,3,Li,lithium,"(' 3 lithium Li ', 3)",[He],3,4,1,2,1,0,0,H,2,0,0,0,N,,,,,
39,3,Li,lithium,"(' 3 lithium Li ', 3)",[He],3,4,1,2,2,0,0,V,1,0,0,0,N,,,| 14,,
40,3,Li,lithium,"(' 3 lithium Li ', 3)",[He],3,4,1,2,3,0,0,V,0,0,0,0,N,,,,,
41,3,Li,lithium,"(' 3 lithium Li ', 3)",[He],3,4,1,2,4,0,0,H,0,0,0,0,N,,,- 4,| 9,- 13
42,3,Li,lithium,"(' 3 lithium Li ', 3)",[He],3,4,1,2,5,0,0,H,0,0,0,0,N,,- 18,| 2,- 16,
43,3,Li,lithium,"(' 3 lithium Li ', 3)",[He],3,4,1,2,6,0,0,V,0,0,0,0,N,- 10,| 6,- 1,| 7,- 12
44,3,Li,lithium,"(' 3 lithium Li ', 3)",[He],3,4,1,2,7,0,0,V,0,0,0,0,N,,- 17,| 3,- 19,
